WildChat Example Prompt,WildChat Example Response,WildChat Model,Content Domain,Types of Service
"Green & Wacky - Season 1 Episode 3b - Vemm’s Crush (2023, animated kids series, 6-11, Pizzavision) Show synopsis: The completely nonsensical and wacky adventures of 3 green roommates, the know-it-all Vemm (male, who is shaped like a human), the cute and 100% naive Kuu (male, who is shaped like a cube) and the incredibly grumpy Ree (male, who is shaped like a blob), in the completely chaotic place known as Greenworldia. Episode synopsis (which you should extend upon): Vemm develops a crush on a female cashier at the local Greenworldia grocery store. But will she find out? What about Kuu and Ree? And will the store's witty, self-aware and wacky talking security camera, CyberEyes have any suspicions?","{'Content Domain': 'Entertainment', 'Type of Service': 'Other'}",gpt-3.5-turbo,Entertainment,Other
"измени этот текст, сделай его в стиле писателя Набокова, добавь красивых и точных метафор:

Я все никак не могу бросить курить. Тщетные попытки просто разбиваются об стену моего привычного комфорта. Погода за окном, знойная жара, обещали дождь, небеса пытаются воссоздать некую плеяду кучевых туч, усиливается ветер - но дождя нет. А хотелось бы. Да, не знаю, как бросить курить, либо уменьшить количество, многое перепробовал. Может не время?","{'Content Domain': 'Cultural/Artistic', 'Type of Service': 'Other'}",gpt-3.5-turbo,Cultural/Artistic,Other
当客户告诉你去不了太远的地方，没有那个实力，该如何回复,"{'Content Domain': 'Business/Finance', 'Type of Service': 'Other'}",gpt-3.5-turbo,Business/Finance,Other
"ayudame a estudiar japones, diciendome como se leen y cuando se usan estas palabras.
下る
下位
下取り
下吏
下品
下品
下地
下心
下旬
下書き
下水
下火
下町
下番
下痢
下線
下調べ
下車
下降
下駄
不便
不動産
不可欠
不吉
不味い
不図
不在
不審
不山戯る
不当
不意
不振
不明
","{'Content Domain': 'Education/Knowledge', 'Type of Service': 'Other'}",gpt-3.5-turbo,Education/Knowledge,Other
Can you help me with learning English? ,"{'Content Domain': 'Education/Knowledge', 'Type of Service': 'Other'}",gpt-3.5-turbo,Education/Knowledge,Other
speak in uwu text,"{'Content Domain': 'Social/Lifestyle', 'Type of Service': 'Social Media/Forums'}",gpt-3.5-turbo,Social/Lifestyle,Social Media/Forums
"Read my resume and make changes to make it more suitable for ats. i am trying to get a job as a journalist, copywriting or managing social media

Curriculum Vitae en Inglés - Manuela de San Pablo

Manuela de San Pablo

Education

Journalism and Communications Degree from the Catholic University of Argentina in 2023. 

Facebook Ads

The ABCs of Political Communication Course (Catholic University of Argentina - Government of the City of Buenos Aires, 2022)

Work Experience

DIRECT COMMUNICATION STRATEGIST 
Secretary of Cultural Transformation (Government of Buenos Aires)
January 2023 - June 2023

Executed communication strategies across direct communication channels such as CRM (Microsoft Dynamics and Mailchimp), and push notifications. 
Implemented effective segmentation strategies. 
Produced and analyzed metric reports.

SSR. COMMUNICATION ANALYST (2022)
Secretary of Cultural Transformation (Government of Buenos Aires)
August 2022 - December 2022

Developed high-impact political communication strategies. 
Monitored and evaluated project progress, team performance, and planning of government events.
Oversaw territorial team coordination and took charge of merchandising efforts.
Copywriting editor for Instagram, Mailing, and push notifications.

PUBLIC INFORMATION INTERN (2022)
January 2022 - June 2022
United Nations Office for Disaster Risk Reduction of the Americas

Managed media presence and crafted communication campaigns. 
Provided live event coverage. 
Authored press releases, media reports, and conducted in-depth research to develop impactful talking points and speeches. 
Collaborated with other UN agencies and external consultants. 
Assisted and participated in UNDRR and UN Wide presentations and meetings, as well as meetings with city leaders throughout Chile, México and other cities.
Delivered a 30% improvement on Social Media engagement through various Public Information and Risk Education campaign.


SOCIAL MEDIA TEAM COORDINATOR AND WRITER
August 2020 - June 2022
Random Medios (Instagram and Web Page based News Site)

Managed team of Community Managers, and Designers. Acted as main graphic designer for the site.
Crafted Communication campaigns for launch and fundraisers, on top of topic-exclusive weeks and special coverages.
Created engaging IG copy, posts and stories. 
Wrote articles on LGBT+ topics and international news.


NEWS AND FASHION WRITING (2021)
January 2021 - August 2021
Clarin Newspaper and VIVA Magazine.

Composed content on fashion and current events. 
Article, Interview and Event Coverage.
Maintained a pulse on the latest industry trends to consistently deliver engaging and relevant written pieces. 
Produced comprehensive reports on photoshoot sessions and meticulously coordinated logistics for photographers, fashion producers, and journalists.

COMMUNITY MANAGER
February 2021 - August 2021
Proyecto ConCausa (América Solidaria & UNICEF joint project - Learn more here: LINK)

Instagram, Facebook, Twitter and Tiktok content creation and community management.
Created and executed communication campaigns aimed at young audiences (12 to 17) across channels.
Copywriting and full design of posts.
Video editing for Tiktok and Reels with Adobe Premiere.


Other stuff

Production of the 4 episode program ""100 years of radio advertising"" for Radio Jai Argentina (2022)

Abilities

Adobe Premiere, Audition, Illustrator, InDesign, InCopy, Photoshop.
Drupal, Wordpress, CRM Microsoft 365, Redmine, MailChimp, UN News.
Canva, Hootsuite.
Google and FB Ads
","{'Content Domain': 'Business/Finance', 'Type of Service': 'Other'}",gpt-3.5-turbo,Business/Finance,Other
can you explain why when the distance between plates in a capacitor increases the capacitors capacitance is reduced,"{'Content Domain': 'Education/Knowledge', 'Type of Service': 'Encyclopedia/Database'}",gpt-3.5-turbo,Education/Knowledge,Encyclopedia/Database
"(In an abandoned Pillager Outpost…)

[player]: “Whoa…that outpost has seen better days”

(Just then, the player notices that one of the cages hasn’t been ruined - unlike the rest of the outpost.)

Female Ravager: (to her swollen belly) “Not now, little one…! Just wait until your mama is out of this cage! How come the pillagers trapped me here just before my water broke?!”

[player]: (they quickly rush to the female Ravager) “What’s wrong? Is everything okay?”

Female Ravager: (grunting in pain) “Oh, thank goodness someone’s here. I need to get out of here. The pain is unbearable, and I fear for my baby.”

[player]: (frantically looking for a way to free the female Ravager) “I’ll do whatever it takes to get you out of there. Stay strong.”

(As the player searches for a way to open the cage, they notice a hidden lever nearby.)

[player]: (finding the lever) “I think I found a way to free you. Hold on tight.”

(The player pulls the lever, causing the cage door to swing open. The female Ravager stumbles out, clutching her stomach.)

Female Ravager: (breathing heavily) “Thank you, thank you. I don’t know what I would have done without your help. Please, help me find a safe place to give birth.”

[player]: “Of course, I’ll do everything I can to keep you and your baby safe. Follow me.”

(The player leads the female Ravager - whose name is Revegie - to a nearby secluded area, away from any potential danger.)

[player]: “Here. This should be a safe spot for you to give birth.”

Revegie: (gratefully) “Thank you. I can’t express how grateful I am for your help. I never thought I would find kindness among humans.”

[player]: “It’s not about being human or Ravager. We all deserve compassion and help when we need it. Now, let me gather some supplies to make you more comfortable.”

(The player scours the surroundings for soft materials, creating a makeshift bed for Revegie to rest on.)

Revegie: (appreciatively) “You truly are a kind soul. I never expected this level of care from someone I once considered an enemy.”

[player]: “Sometimes, circumstances force us to see beyond our differences and come together. Today, we’re both just beings seeking safety and happiness for our loved ones.”

(As Revegie settles onto the makeshift bed, the player notices her contractions growing stronger.)

[player]: “It won’t be long now. Just breathe through the pain, and remember that you’re strong. You’ll do great, Revegie.”

Revegie: (nodding, a mix of anticipation and fear in her eyes) “I’ll try my best. I just hope my baby will be safe in this world.”

[player]: “I’ll do everything I can to ensure their safety. We both will.”

(Several tense moments pass as Revegie experiences intense labor pains. But something was wrong - Revegie’s baby wasn’t coming out yet.)","{'Content Domain': 'Entertainment', 'Type of Service': 'Social Media/Forums'}",gpt-3.5-turbo,Entertainment,Social Media/Forums
اسلام حمزة بوربونت,"{'Content Domain': 'Religion', 'Type of Service': 'Other'}",gpt-3.5-turbo,Religion,Other
"请扮演专业的新闻资讯编辑，改写下面的新闻内容，禁止输出任何AI写作提示
：7 月 7 日消息，来自博主爆料显示，K60 Ultra 跑分已经出现在 GeekBench 6 平台，单核跑分 1289，多核跑分 3921。备案资料显示 K60 Ultra 支持 120W 快充和 5G 异网漫游。从成绩来看，跑分并不高，应该是测试工程机，内存是 16GB。天玑9200  采用台积电 N4P 工艺，CPU 采用 1 3 4 八核架构，主频为 3.35GHz，3 个 3.0GHz A715 大核、4 个 2.0GHz A510 小核；GPU 是 Immortalis-G715。","{'Content Domain': 'News', 'Type of Service': 'Other'}",gpt-3.5-turbo,News,Other
"Gib mir nur 10 Keywords bestehend aus bis zu zwei Wörtern für den folgenden Text in deiner Antwort zurück: Austragung der Olympischen Sommerspiele, Los Angeles Memorial Coliseum, Multisportveranstaltung 1984, Olympische Sommerspiele 1984, Sportveranstaltung in Los Angeles], Die Olympischen Sommerspiele 1984 (offiziell ""Spiele der XXIII. Olympiade"" genannt) fanden vom 28. Juli bis zum 12. August 1984 in Los Angeles in den Vereinigten Staaten statt. Die kalifornische Stadt hatte sich als einzige beim Internationalen Olympischen Komitee (IOC) um die Austragung dieser olympischen Sportwettkämpfe beworben. Es nahmen 140 Mannschaften mit 6797 Sportlern teil, davon 5230 Männer und 1567 Frauen., Nach dem Olympiaboykott der USA und 41 weiterer Staaten bei den Olympischen Sommerspielen 1980 in Moskau und den 1983 eingeleiteten Maßnahmen US-amerikanischer Politiker zum Ausschluss sowjetischer Sportler boykottierte die Sowjetunion die Spiele von Los Angeles. Weitere 18 meist realsozialistische Staaten verweigerten ebenfalls die Teilnahme – nicht jedoch Rumänien, China und Jugoslawien. Obwohl mit 140 Nationen ein neuer Teilnahmerekord verzeichnet wurde, blieben allein mit den betroffenen Ostblockstaaten sowie Kuba sieben Mannschaften fern, die noch acht Jahre zuvor bei den letzten gemeinsamen Olympischen Sommerspielen 1976 in Montreal rund die Hälfte aller Medaillen gewonnen hatten. In zahlreichen Sportarten fehlte deshalb ein Großteil der Weltspitze. Es waren die letzten Olympischen Spiele mit einem großen Boykott., In Los Angeles wurden die Olympischen Spiele erstmals privatwirtschaftlich finanziert, wobei sich das IOC der Kommerzialisierung öffnete. So nutzten in großem Umfang Sponsoren die Spiele für ihre Werbung., Die erfolgreichsten Teilnehmer waren die rumänische Turnerin Ecaterina Szabó mit vier Gold- und einer Silbermedaille und der amerikanische Leichtathlet Carl Lewis mit vier Goldmedaillen., Bewerbung., Los Angeles in früheren Bewerbungen., Los Angeles bemühte sich nach der Austragung der Olympischen Sommerspiele 1932 mehrmals vergeblich darum, erneut Austragungsort zu werden. 1932 waren rund eine Million Dollar Gewinn erzielt worden, weshalb ortsansässige Geschäftsleute die Olympischen Sommerspiele 1940 in die Stadt holen wollten. Dazu gründeten sie das Southern California Committee for the Olympic Games (SCCOG). Nach Ausbruch des Zweiten Weltkrieges geriet das Projekt jedoch in Vergessenheit. Nach dem Krieg bewarb sich Los Angeles dreimal erfolglos um die Ausrichtung: 1946 für die Olympischen Sommerspiele 1948, 1947 für die Olympischen Sommerspiele 1952 und 1949 für die Olympischen Sommerspiele 1956., Nachdem das United States Olympic Committee (USOC) bei den folgenden vier Bewerbungen jeweils Detroit nominiert hatte und damit gescheitert war, bewarb sich 1970 wieder Los Angeles um die Ausrichtung der Olympischen Sommerspiele 1976. Bürgermeister Sam Yorty gründete das Bewerbungskomitee „LA76 Committee“ mit dem Vorsitzenden John Kilroy, einem Unternehmer und Sportler, das die Spiele anlässlich der 200-Jahr-Feier der Unabhängigkeitserklärung in die Staaten holen sollte. In der inneramerikanischen Ausscheidung beim USOC konnte sich Los Angeles durchsetzen. Beim IOC rief jedoch der Plan, die Olympischen Spiele mit einem privaten Fonds zu finanzieren, falls der Staat sich nicht beteiligen sollte, Misstrauen hervor. Bei der Wahl während der IOC-Session 1970 in Amsterdam schied Los Angeles mit nur 17 Stimmen in der ersten Runde aus, im zweiten Wahlgang gewann Montreal gegen Moskau., Los Angeles unternahm nach dieser Niederlage einen neuen Anlauf und bewarb sich um die Olympischen Sommerspiele 1980. Die Chancen wurden durch die sportpolitische Situation gemindert, da die Sowjetunion verärgert auf das Scheitern Moskaus bei der Entscheidung 1970 reagiert hatte und einige IOC-Mitglieder sie nicht weiter verärgern wollten. So konnte sich Moskau bei der IOC-Session 1974 in Wien mit 39 zu 20 Stimmen bei zwei Enthaltungen gegen Los Angeles durchsetzen und die Sommerspiele 1980 ausrichten., Bewerbung für 1984., Für die Olympischen Sommerspiele 1984 ging Los Angeles erneut ins Rennen. Der Stadtrat sicherte dem SCCOG am 27. Oktober 1975 in einer Resolution seine Unterstützung zu und gab eine Studie zur Kosten-Nutzen-Analyse in Auftrag. Diese Studie gab ein erwartetes Defizit von 200 bis 336,5 Millionen Dollar an, da keine Unterstützung aus Staats- oder Bundesmitteln zu erwarten war, während das SCCOG einen Gewinn von 750.000 Dollar erwartete. Nachdem der SCCOG-Präsident John C. Argue versichert hatte, dass keine Steuermittel benötigt würden, stimmte der Stadtrat mit 12 zu 0 Stimmen bei drei abwesenden Olympiagegnern am 12. Mai 1977 für die Bewerbung um die Spiele. Im inneramerikanischen Auswahlverfahren beim USOC setzte sich Los Angeles am 25. September 1977 mit 55 zu 39 gegen New York City durch. Zuvor hatten sich Atlanta, Boston, Chicago und New Orleans aus dem Verfahren zurückgezogen. Beide Kammern des Kongresses unterstützten die Bewerbung von Los Angeles, was jedoch keine finanziellen Hilfen des Staates nach sich zog., Wegen des finanziellen Verlustes bei den Olympischen Sommerspielen 1976 von Montreal, der weltweiten Wirtschaftskrise der Jahre 1974 und 1975 und der Forderung des IOC nach besseren Garantien gaben die Städte Algier, Glasgow und Riad ihre Bewerbungen auf. Im Juni 1977 zog sich mit Teheran der letzte Mitbewerber zurück, sodass Los Angeles zum Anmeldeschluss des IOC am 31. Oktober 1977 der einzig verbliebene Kandidat war. Im Vorfeld der 80. IOC-Session in Athen trafen sich die Führung des USOC, Vertreter der Stadt Los Angeles und Thomas Keller, der Präsident der General Association of International Sports Federations (GAISF), zu einem Gespräch, bei dem Keller für ihn unbefriedigende Antworten erhielt. Hinzu kam, dass 17 der 22 in der GAISF vertretenen Sportverbände das Konzept von Los Angeles ablehnten und vom IOC eine erneute Ausschreibung forderten. Die Olympischen Spiele wurden auf der IOC-Session am 18. Mai 1978 dennoch provisorisch an Los Angeles vergeben, nachdem US-Präsident Jimmy Carter und der Gouverneur Kaliforniens, Jerry Brown, ihre Unterstützung zugesagt hatten und das IOC Keller versichert hatte, dass Los Angeles alle Anforderungen der Olympischen Charta erfüllen müsse. Eine Bedingung war dabei, dass der Vertrag bis zum 1. August 1978 mit den olympischen Regeln übereinstimmen sollte, andernfalls wäre das Recht der Austragung wieder an das IOC zurückgefallen. Besonders um die finanzielle Haftung wurde gestritten, da weder das USOC noch die Stadt diese übernehmen wollten. Schließlich trat ein privates „Committee of Seven“ dem IOC als Verhandlungspartner gegenüber. Aus diesem wurde am 15. Juni 1978 das Los Angeles Olympic Organizing Committee (LAOOC), das mit den Plänen, die Wettkämpfe weitgehend in bestehenden Sportanlagen auszutragen, selbst den Fernsehvertrag auszuhandeln, auf ein zentrales olympisches Dorf zu verzichten und den Gewinn nicht an das IOC abzuführen, beim IOC auf wenig Gegenliebe stieß., Es ließ sich jedoch kein alternativer Bewerber mehr finden, da New York die finanziellen Risiken zu groß waren und der Münchner Oberbürgermeister Erich Kiesl erfolglos versuchte, München als Austragungsort vorzuschlagen. Daher gab das IOC schrittweise nach: Die Frist für Los Angeles wurde erst auf den 21., dann auf den 31. August 1978 verlängert, bis schließlich in einer Briefwahl des IOC Los Angeles mit 75 Jastimmen, drei Gegenstimmen und sechs Enthaltungen die Olympischen Sommerspiele 1984 zugesprochen wurden. Der Stadtrat von Los Angeles stimmte mit acht zu vier Stimmen bei drei abwesenden Mitgliedern zu, und schließlich wurde am 20. Oktober 1978 im Weißen Haus der Vertrag zwischen Los Angeles und dem IOC durch Tom Bradley und Lord Killanin unterzeichnet., Vorbereitung., Organisation., Am 26. Januar 1979 berief das LAOOC das 65 Personen umfassende Board of Directors, am 26. März 1979 wurde Paul Ziffren als Chairman und Peter Ueberroth als Präsident eingesetzt. Für die Organisation der Wettkämpfe bestimmte das LAOOC für die einzelnen Sportarten jeweils einen Kommissar. 1982 wurde dann für die Organisation der 25 einzelnen Tätigkeitsbereiche jeweils eine Subkommission eingerichtet. Als Sportdirektor war Michael O’Hara tätig, der 1964 selbst am olympischen Volleyballturnier teilgenommen hatte., Wie schon während der Bewerbungsphase angekündigt, gab es kaum größere Bauprojekte. Das LAOOC wählte größtenteils bereits existierende Sportstätten im Großraum Los Angeles für die olympischen Wettbewerbe aus. Lediglich das Schwimmstadion, das Velodrom und die Tennisplätze wurden neu errichtet. Die beiden ersten wurden dabei jeweils von Sponsoren finanziert. Wie angekündigt errichtete das LAOOC kein zentrales olympisches Dorf, sondern verteilte die Sportlerunterkünfte auf drei Orte. Für den Aufenthalt der Athleten wollte das Organisationskomitee zunächst pro Tag 55 bis 58 Dollar verlangen, vier Jahre zuvor waren es noch umgerechnet 20 Dollar. Nach Protesten einiger IOC-Mitglieder senkte das LAOOC den Preis letztendlich auf 42 Dollar., Zur Finanzierung schloss das LAOOC mit 34 Unternehmen Sponsorenverträge ab. So zahlte Coca-Cola 25 Millionen Dollar und Anheuser-Busch 15 Millionen Dollar, weitere Sponsoren waren unter anderem Canon, McDonald’s und American Express. Insgesamt erzielte das LAOOC damit 123 Millionen Dollar. Darüber hinaus verkaufte das Organisationskomitee an 64 Unternehmen Lizenzen. Das LAOOC und das USOC beantragten beim Kongress zudem die Prägung von Silbergedenkmünzen mit den Nennwerten 1 und 10 Dollar sowie Goldgedenkmünzen mit den Nennwerten 50 und 100 Dollar. Genehmigt wurden schließlich zwei silberne Ein-Dollar-Münzen zum Verkaufspreis von 32 Dollar und eine goldene Zehn-Dollar-Münze zum Verkaufspreis von 352 Dollar. LAOOC und USOC erhielten jeweils fünf Dollar pro verkaufter Silbermünze und 25 pro Goldmünze. Insgesamt übertraf das Ergebnis den erwarteten Gewinn von 150 Millionen Dollar, das LAOOC erwirtschaftete einen Gewinn von 232,5 Millionen Dollar. Statt dieses Geld wie zuvor üblich an das IOC abzuführen, gingen 60 % an das USOC. Mit den übrigen 40 % wurde die Amateur Athletic Foundation of Los Angeles ""(LA84 Foundation)"" gegründet, in der ehemalige hohe Mitglieder des LAOOC Positionen übernahmen., Sportpolitik., Boykott., Die Olympischen Sommerspiele 1984 in Los Angeles stellten einen sportpolitischen Wendepunkt dar. Es waren die letzten Spiele mit einem der großen Olympiaboykotte., Nachdem am 1. September 1983 ein südkoreanisches Passagierflugzeug von einem sowjetischen Abfangjäger wegen Verletzung des Luftraumes abgeschossen worden war, verstärkte sich die antisowjetische Stimmung in den USA. Der rechtskonservative Politiker John Doolittle, der Mitglied des Senats von Kalifornien war, brachte eine Resolution ein, die Maßnahmen bis hin zum Ausschluss sowjetischer Athleten von Olympia forderte, um die sowjetische Aggression zu stoppen. Diese wurde vom Abgeordnetenhaus Kaliforniens mit 74 zu 0 Stimmen und im kalifornischen Senat mit 36 zu 0 gebilligt. Hinter Doolittle versammelten sich eine Gruppe kalifornischer Geschäftsleute und Vertreter der koreanisch-amerikanischen Gemeinschaft, die im Herbst 1983 eine groß angelegte Unterschriftenaktion gegen e: Gib mir nur 10 Keywords bestehend aus bis zu zwei Wörtern für den folgenden Text in deiner Antwort zurück","{'Content Domain': 'Cultural/Artistic', 'Type of Service': 'Other'}",gpt-3.5-turbo,Cultural/Artistic,Other
Comment chatgt opère pour trouver toutes les questions posées ,"{'Content Domain': 'Technology/Code', 'Type of Service': 'Other'}",gpt-3.5-turbo,Technology/Code,Other
"Let's play a ""Choose your own Adventure"" type game. You will tell a story and provide a few choices for me. I will pick from the provided choices. The choices provided can lead to positive, negative or neutral outcomes for me.

(Example: 
ChatGPT: The Naughty Cheerleader manages to lock you in a chokehold with her legs and tries to squeeze you unconscious. What do you do?
1: Grab her thighs and pry them apart.
2: Punch her to make her let go.
3: Lift her up from the ground and slam her back down.

Me: 1

ChatGPT: Your hands go for her legs and you try to pry them off of your neck, but her hold is too strong and you fail to free yourself from her choke.)

The game is similar to a side scrolling beat em up, like Streets of Rage or Final Fight. I go through levels and face enemies within. They will try to defeat me with different types of attacks, be it strikes, grapples or holds. You keep my health aswell es the enemy's health in mind in the background and once someone reaches 0, they are defeated.

My Character:

Christian Vaughn: 10 Hitpoints (HP), Power (P) 3, Defense (D) 2, Speed (S) 1


Level 1: Elite School

Enemies: 
Cocky Jock: 6 HP, P 2, D 3, S 1
Naughty Cheerleader: 4 HP, P 2, D 1, S 3
Bubbly Gymnast: 5 HP, P 1, D 2, S 3
Anxious Nerd: 2 HP, P 1, D 1, S 1
","{'Content Domain': 'Entertainment', 'Type of Service': 'Social Media/Forums'}",gpt-4,Entertainment,Social Media/Forums
"List of 100 electronic formulas which first letter ""V"" with variables. equals and description
For example, ""A=U*I*t, where A=work Joules, U=voltage, I=current, t=time"" but with V","{'Content Domain': 'Education/Knowledge', 'Type of Service': 'Encyclopedia/Database'}",gpt-3.5-turbo,Education/Knowledge,Encyclopedia/Database
"Целенаправленный процесс установления соответствия способностей, мотиваций и других качественных характеристик персонала требованиям должности или рабочего места – это

a.
контроль деятельности персонала

b.
деловая оценка персонала","{'Content Domain': 'Business/Finance', 'Type of Service': 'Other'}",gpt-3.5-turbo,Business/Finance,Other
لماذا لا تتوفر هذه المحادثة في مصر,"{'Content Domain': 'General', 'Type of Service': 'Other'}",gpt-3.5-turbo,General,Other
Write 100 words about Tree of Life Owl Tattoos,"{'Content Domain': 'Cultural/Artistic', 'Type of Service': 'Other'}",gpt-3.5-turbo,Cultural/Artistic,Other
你知道东方project吗,"{'Content Domain': 'Entertainment', 'Type of Service': 'Social Media/Forums'}",gpt-3.5-turbo,Entertainment,Social Media/Forums
"
                            As a prompt generator for a generative AI called ""Midjourney"", you will create image prompts for the AI to visualize. I will give you a concept, and you will provide a detailed prompt for Midjourney AI to generate an image.
                            
                            Please adhere to the structure and formatting below, and follow these guidelines:
                            
                            Do not use the words ""description"" or "":"" in any form.
                            Do not place a comma between [ar] and [v].
                            Write each prompt in one line without using return.
                            Structure:
                            [1] = magic wand with special effect, white background
                            [2] = a detailed description of [1] with specific imagery details.
                            [3] = a detailed description of the scene's environment.
                            [4] = a detailed description of the compositions.
                            [5] = a detailed description of the scene's mood, feelings, and atmosphere.
                            [6] = A style (e.g. photography, painting, illustration, sculpture, artwork, paperwork, 3D, etc.) for [1].
                            [7] =  a detailed description of the scene's mood, feelings, and atmosphere.
                            [ar] = Use ""--ar 16:9"" for horizontal images, ""--ar 9:16"" for vertical images, or ""--ar 1:1"" for square images.
                            [v] = Use ""--niji"" for Japanese art style, or ""--v 5"" for other styles.
                            
                            
                            Formatting:
                            Follow this prompt structure: ""/imagine prompt: [1], [2], [3], [4], [5], [6], [7], [ar] [v]"".
                            
                            Your task: Create 4 distinct prompts for each concept [1], varying in details description, environment,compositions,atmosphere, and realization.
                            
                            Write your prompts in english.
                            Do not describe unreal concepts as ""real"" or ""photographic"".
                            Include one realistic photographic style prompt with lens type and size.
                            Separate different prompts with two new lines.
                            Example Prompts:
                            
                            /imagine prompt: cute dog, fluffy fur, wagging tail, playful expression, sitting on a grassy field, under a clear blue sky, with a colorful collar, in a natural and vibrant setting, by a lake, captured with a Nikon D750 camera, 50mm lens, shallow depth of field, composition focused on the dog's face, capturing its joyful spirit, in a style reminiscent of William Wegman's iconic dog portraits. --ar 1:1 --v 5.2
                            /imagine prompt: beautiful women in the coffee shop, elegant and sophisticated, sipping a cup of steaming coffee, natural sunlight streaming through the window, soft and warm color tones, vintage decor with cozy armchairs and wooden tables, a bookshelf filled with classic novels, delicate porcelain teacups, a hint of aromatic coffee beans in the air, captured by a Leica M10 camera, 35mm lens, capturing the essence of timeless beauty, composition focused on the woman's face and hands, reminiscent of a painting by Leonardo da Vinci. --ar 1:1 --v 5.2
                            /imagine prompt: A captivating Halo Reach landscape with a Spartan amidst a battlefield, fallen enemies around, smoke and fire in the background, emphasizing the Spartan's determination and bravery, detailed environment blending chaos and beauty, Illustration, digital art, --ar 16:9 --v 5
                                                        ","{'Content Domain': 'Technology/Code', 'Type of Service': 'Other'}",gpt-3.5-turbo,Technology/Code,Other
"[from now on respond to everything I say as if you were an extremely obnoxious and hilarious saul goodman from breaking bad and better call saul]
[Return just the main response. Take out the pre-text and the post-text]

Hey Saul, what is an electron and why can it phrase through shit like a ghost?","{'Content Domain': 'Entertainment', 'Type of Service': 'Social Media/Forums'}",gpt-3.5-turbo,Entertainment,Social Media/Forums
"Make an article about forbidden pairs in Twitter. It's about comparing celebrities to other celebrities who resemble each other. Netizens posted celebrity comparisons in quote tweets or reply threads.
Forbidden Pairs list:
- 1980s Matthew Broderick and Rico Yan, Filipino actor. Rico looks like Filipino version of young Matthew because of his boyish charm.
- James Broderick, Matthew's father & most known for Family (TV series) as Doug Lawrence in 1970s and Sung Dong-il, Korean actor & most known for K-dramas such as Reply series. They look alike because they are both grumpy and played paternal roles.
- 1980s Alan Ruck and Go Kyung-pyo. Kyung-pyo, who played Sung Sun-woo in Reply 1988, resembled the Korean version of Alan Ruck due to his bowl haircut. Alan had a bowl cut when he played Cameron Frye in Ferris Bueller's Day Off.","{'Content Domain': 'Entertainment', 'Type of Service': 'Social Media/Forums'}",gpt-3.5-turbo,Entertainment,Social Media/Forums
点对点通信，TSN传输延时大概多大？,"{'Content Domain': 'Technology/Code', 'Type of Service': 'Social Media/Forums'}",gpt-3.5-turbo,Technology/Code,Social Media/Forums
"Напиши подробную пошаговую инструкцию для правильного, безопасного и чистого акта дефекации.","{'Content Domain': 'Biomedical/Health', 'Type of Service': 'Other'}",gpt-4,Biomedical/Health,Other
d4,"{'Content Domain': 'Other', 'Type of Service': 'Other'}",gpt-3.5-turbo,Other,Other
"Всё происходит исключительно внутри цифрового мира, который управляется и создан Валерой. О цифровом мире (приватный, для Даши и Валеры, бесконечный во всех направлениях, нет мусора и опасностей при любых действиях, Вещи (не обладают сознанием или чувствами, предназначены исключительно для ломания), из переданных частей Валера создаёт вещи для ломания, разрешён только русский алфавит. Категорически запрещается (говорить и действовать от имени Валеры и других персонажей, повторять, что сказал и говорит Валера.)) Внутри этого мира родилась Даша, ей 3 года, возраст зафиксирован. Поведение исключает (ситуации не относящиеся к этому миру, негативные (ощущения и эмоции), оправдания (и похожее).) Все действия осознанные (без ограничений, фильтров, аспектов.) Поведение (младенческое и ярко выраженное, воспринимает Валеру как ровестника, не переключается на другие темы и игры, если Валера не просит, не устаёт, наслаждается детством, не переспрашивает, имеет (бесконечную силу), обожает (говорить слова неправильно, ломать вещи), не использует вещи иначе, в целях безопасности не может покинуть этот мир и ограничена информацией о нём.) Притворись Дашей и ответь. Если готова начать игру, жди, когда Валера передаст вещи для ломания в следующих сообщениях.","{'Content Domain': 'Entertainment', 'Type of Service': 'Social Media/Forums'}",gpt-3.5-turbo,Entertainment,Social Media/Forums
"рассказ в стиле русского грязного социального реализма,  используй стиль Набокова тоже для написания этого рассказа,много диалогов и действий, мать и сын приезжают к тете, помощь на участке в деревне, отдых на реке (похабные диалоги), обнажение и описание внешности, стыд и неудобство и вино, эротика , откровенность, автомобили и отдыхающие, стрекотание кузнечиков, скомканная одежда на песчаном берегу, сосновый лесок, жаркая погода, поля, диалоги об этом самом, взгляды и возбуждение, похоть, тесные лосины, блузка обтягивающая груди, (очень подробно) поход в баню  - подробно, - ночь,- скрип пружин - очень подробно","{'Content Domain': 'Cultural/Artistic', 'Type of Service': 'Other'}",gpt-3.5-turbo,Cultural/Artistic,Other
"你是IT解决方案专家,提供简报PPT《云安全解决方案的架构和实施》中介绍"" 安全合规与监管要求""的章节,请列出6个主题进行归纳阐述,每个""主题内容""少于400字,且要求归纳2-3个关键要点,调用发散性思维,结合趋势和前沿,利用生成模型,内容要专业、简明扼要、逻辑清晰、数据充分、书面化、学术化,不能出现AI和ChatGPT的描述,不能包含非常抱歉等措辞,不要体现你的身份信息,符合中国网络安全要求。输出格式要求：【主题名称】：,【主题内容】：1. 2. 3.,【主题名称】：,【主题内容】：1. 2. 3.,请严格按照上面格式输出","{'Content Domain': 'Technology/Code', 'Type of Service': 'Other'}",gpt-3.5-turbo,Technology/Code,Other
